TITLE,subtitle,Power,Enter Cost,Tags,Game Text,Flavorlogue,Stars,Art Credit,Picture,Set Release,Card Number
JOHN EGBERT,bustin makes me feel good,3,3g,#HUMAN,Ability (1g) Destroy all opponent's #GHOST cards here with equal or less power this card's power + boons.,,3,,Set1_Chara001.png,001 The Opening Note,C001
JOHN EGBERT,unstuck from canon,4,6g,#HUMAN,This card may be refreshed during your turn for 1 boon.,,4,,Set1_Chara002.png,001 The Opening Note,C002
ROSE LALONDE,game breaker,3,4g,#HUMAN,"Ability (3b) Choose any executable card, and destroy it (without activating it.) Then, destroy this character card.",,4,,Set1_Chara003.png,001 The Opening Note,C003
ROSE LALONDE,guide writer,4,2g,#HUMAN,"Ability (1b) Look at the top card of anybody's deck. You may choose either to put the card back onto the top of their deck, or the bottom.",,3,,Set1_Chara004.png,001 The Opening Note,C004
DAVE STRIDER,stock market investor,3,2g,#HUMAN,"Whenever this card earns a Boon, you may choose to instead earn +1 grist.",,3,,Set1_Chara005.png,001 The Opening Note,C005
DAVE STRIDER,cut throat,4,1g,#HUMAN #GHOST,,,2,,Set1_Chara006.png,001 The Opening Note,C006
JADE HARLEY,rockin out,4,1g,#HUMAN,,,2,,Set1_Chara007.png,001 The Opening Note,C007
JADE HARLEY,dog tier,4,~ATH: Your #BEAST,#HUMAN #BEAST,This card gains +1 Power per boon,,4,,Set1_Chara008.png,001 The Opening Note,C008
JANE CROCKER,only one rez,4,4g,#HUMAN,"When you play this card, you must store 1 character card from your discard pile underneath this card. // Ability (1b) Swap this card with it's stored card. //  While this card is stored underneath a card, when the card is destroyed, nullify it and this stored card.",,4,,Set1_Chara009.png,001 The Opening Note,C009
JANE CROCKER,heir to the empire,4,~ATH: Any #TROLL,#HUMAN,Ability (2g) All opponent's #TROLL cards here have -1 power until the start of your next turn.,,4,,Set1_Chara010.png,001 The Opening Note,C010
ROXY LALONDE,haxxorz,3,3g,#HUMAN,"When this card is destroyed, pick any one of your executable cards and activate it.",,4,,Set1_Chara011.png,001 The Opening Note,C011
ROXY LALONDE,sleep walker,3,1g,#HUMAN,Ability (1b) Move this card to any location.,,2,,Set1_Chara012.png,001 The Opening Note,C012
DIRK STRIDER,distracted,4,3g,#HUMAN,"Ability (1g) While this card is invading, it's power -1 is also considered defending your planet until the start of your next turn.",,3,,Set1_Chara013.png,001 The Opening Note,C013
DIRK STRIDER,your prince is awake,4,3g,#HUMAN,"While this card is tapped, it gains +2 power to resist being destroyed by opponent's attacks or abilities.",,3,SleepyFudgetart,Set1_Chara014.png,001 The Opening Note,C014
JAKE ENGLISH,not just a peice of meat,3,2g,#HUMAN,Ability (2g) Move all boons to another one of your #HUMAN cards.,,3,,Set1_Chara015.png,001 The Opening Note,C015
JAKE ENGLISH,taste for adventure,4,3g,#HUMAN,This card gains +1 power while invading.,,3,,Set1_Chara016.png,001 The Opening Note,C016
DAD,mister egbert,4,1g,#HUMAN,,,3,,Set1_Chara017.png,001 The Opening Note,C017
DAD,mister crocker,4,1g,#HUMAN,,,3,,Set1_Chara018.png,001 The Opening Note,C018
BEQ,first guardian,4,4g,#BEAST,"Ability (3b) Search your deck for 1 executable card and add it to your hand. Then, put this card ontop of your deck and shuffle your deck.",,3,,Set1_Chara019.png,001 The Opening Note,C019
BEQ,good dog best friend,3,4g,#BEAST,"When any JADE HARLEY here would be destroyed, destroy this card instead, and move any JADE HARELY here to another location without tapping.",,3,,Set1_Chara020.png,001 The Opening Note,C020
GCAT,first guardian,3,4g,#BEAST,"Ability (1g) Destroy all opponent's cards here with less power than this card, and remove 1 boon from all opponent's cards here with greater or equal power than this card.",,4,,Set1_Chara021.png,001 The Opening Note,C021
JASPERS,beloved pet,4,2g,#BEAST #GHOST,,,2,,Set1_Chara022.png,001 The Opening Note,C022
VODKA MUTINI,swam of cats,0,~ATH: Your #BEAST,#BEAST #MUTANT,This card gains +1 power for every #BEAST card in your discard pile.,,3,,Set1_Chara023.png,001 The Opening Note,C023
MAPLEHOOF,pony pal,4,2g,#BEAST,,,2,Vaccinipion,Set1_Chara024.png,001 The Opening Note,C024
ARADIA MEGIDO,robo explode,3,2g,#TROLL #MAROONBLOOD,"Ability (3b) Destroy this card. Once this card is in the discard pile after this ability, return it to your deck and shuffle your deck.",,4,,Set1_Chara025.png,001 The Opening Note,C025
ARADIA MEGIDO,dead and back again,4,~ATH: Any ARADIA MEGIDO,#TROLL #MAROONBLOOD #GHOST,Ability (1b) Swap this card for any other #GHOST card from your hand.,,3,,Set1_Chara026.png,001 The Opening Note,C026
TAVROS NITRAM,boy skylark,3,1g,#TROLL #BRONZEBLOOD,Ability (1b) Move this card to any location.,,2,,Set1_Chara027.png,001 The Opening Note,C027
TAVROS NITRAM,robot legs,4,2g,#TROLL #BRONZEBLOOD,,,2,,Set1_Cara028.png,001 The Opening Note,C027
SOLLUX CAPTOR,bifurcated fury,0,2g,#TROLL #YELLOWBLOOD,"This card gains +1 power per boon. // Ability (1g) Destroy opponent's character cards here with less than this card's power*2, and then discard all boons.",,3,,Set1_Chara029.png,001 The Opening Note,C029
SOLLUX CAPTOR,so quiet,4,2g,#TROLL #YELLOWBLOOD,"Ability (2g) Before your next turn, the first opponent who has an executable card activated has that activation ignored.",,4,,Set1_Chara030.png,001 The Opening Note,C030
KARKAT VANTAS,friend leader,4,~ATH: Your #TROLL,#TROLL #MUTANT,Ability (2g) Give all your other #TROLL cards here 1+boons power until the start of your next turn.,,3,,Set1_Chara031.png,001 The Opening Note,C031
KARKAT VANTAS,universal cancer,4,~ATH: Your #TROLL,#TROLL #MUTANT,"Ability (2g) Give all opponent's #HUMAN cards here - ""1 +boons"" power until the start of your next turn.",,3,,Set1_Chara032.png,001 The Opening Note,C032
NEPETA LEIJON,poor sweet nepeta,3,1g,#TROLL #OLIVEBLOOD #GHOST,,,2,,Set1_Chara033.png,001 The Opening Note,C033
NEPETA LEIJON,beast hunter,3,3g,#TROLL #OLIVEBLOOD,Ability (1g) Destroy all opponent's #BEAST cards here with equal or less power to this card's power + boons.,,2,,Set1_Chara034.png,001 The Opening Note,C034
KANAYA MARYAM,fussy fangs,4,3g,#TROLL #JADEBLOOD,Ability (3g) Move all boons to another one of your #TROLL cards.,,3,,Set1_Chara035.png,001 The Opening Note,C035
KANAYA MARYAM,rainbow drinker,2,3g,#TROLL #JADEBLOOD,This card's power increases by boons*amount of your other #TROLL cards here.,,2,,Set1_Chara037.png,001 The Opening Note,C036
TEREZI PYROPE,judge jury and executioner,5,3g,#TROLL #TEALBLOOD,Choose an opponent's character card during your score phase- the chosen card has it's power reduced by boons until the end of the score phase.,,3,Torrent 64,Set1_Chara036.png,001 The Opening Note,C037
TEREZI PYROPE,taste the rainbow,4,2g,#TROLL #TEALBOOD,,,2,,Set1_Chara038.png,001 The Opening Note,C038
VRISKA SERKET,bluh bluh huge bitch,5,3g,#TROLL #COBALTBLOOD,Ability (3b) Choose an opponent's character card here- the chosen card can't be tapped until the start of your next turn.,,4,,Set1_Chara039.png,001 The Opening Note,C039
VRISKA SERKET,(vriska),4,~ATH: Any VRISKA SERKET,#TROLL #COBALTBLOOD #GHOST,This card gains +1 power per boon.,,4,,Set1_Chara040.png,001 The Opening Note,C040
EQUIUS ZAHAAK,100 percent strength,4,4g,#TROLL #BLUEBLOOD,Ability (1g) Destroy all opponent's character cards here with less power than this card's power plus 2*boons.,,3,,Set1_Chara041.png,001 The Opening Note,C041
EQUIUS ZAHAAk,mechanical mastermind,4,4g,#TROLL #BLUEBLOOD,"Ability (3b)  Bring the top most #TROLL card out of your discard pile into your deck, then shuffle your deck.",,3,,Set1_Chara042.png,001 The Opening Note,C042
GAMZEE MAKARA,goofin around,3,2g,#TROLL #PURPLEBLOOD,"Ability (1g) Destory all opponent's character cards here with less than this card's power + boons, and then discard all boons.",,4,,Set1_Chara043.png,001 The Opening Note,C043
GAMZEE MAKARA,the mirthful messiahs,4,~ATH: any #TROLL,#TROLL #PURPLEBLOOD,When an opponent's character card is tapped here- decrease the power off that card by boons until the card is refreshed.,,4,,Set1_Chara044.png,001 The Opening Note,C044
ERIDAN AMPORA,morail zoned,2,2g,#TROLL #VIOLETBLOOD #SEADWELLER,This card gains +1 power per boon. // Ability (3g) Move all boons to another one of your #TROLL cards.,,4,,Set1_Chara045.png,001 The Opening Note,C045
ERIDAN AMPORA,angel hunter,3,2g,#TROLL #VIOLETBLOOD #SEADWELLER,"Ability (3b) Chose an opponent- take the top most character card in their discard pile, and nullify it.",,3,,Set1_Chara046.png,001 The Opening Note,C046
FEFERI PEIXES,glub glub glub,4,2g,#TROLL #FUSCHIABLOOD #SEADWELLER,,,2,,Set1_Chara047.png,001 The Opening Note,C047
FEFERI PEIXES,dreambubble buddy,2,~ATH: Your #TROLL,#TROLL #FUSCHIABLOOD #SEADWELLER #GHOST,"Ability (3b) Place a #GHOST card from your hand here, and then discard all boons.",,3,,Set1_Chara048.png,001 The Opening Note,C048
NEPETA LEIJON,happy wriggling day,4,3g,#TROLL #OLIVEBLOOD #BIRTHDAY,"Ability (1g) Store this card under another one of your NEPETA LEIJON. // While this card is stored under a NEPETA LEIJON, it gains this text: ""This card gains +1 Power per Boon.""",Your name is NEPETA LEIJON. (07/04/2010),4,Lucheek,Set1_Chara049.png,001 The Opening Note,C049
