TITLE,subtitle,Enter Cost,Game Text,Flavorlogue,Stars,Art Credit,Picture,Set Release,Card Number
TRICKSTER JUJU,alien super drugs,5g,"When you play this card, store a #HUMAN card from your hand beneath it. // ~ATH: Any card with the same TITLE as the stored card. // Execute: The store card enters play at your planet, with this executable card stored beneath. // While this executable card is stored under a character card, the character card gains the tag #TRICKSTER and the following game text: // Ability (2g): Choose an opponent's character card at a different locaton, and move it here. ",,4,,Set1_Exc001.png,001 The Opening Note,E001
ULTIMATE RIDDLE,ultmate reward,4g,"~ATH: your EARTH C planet card. // Execute: Your planet card is restored, and your character cards at your planet gain up to 3 boons (not to exceed maximum.) // When this card is destroyed, nullify it.",,4,,Set1_Exc002.png,001 The Opening Note,E002
DITCH THE PANTS,its getting hot in here,3g,~ATH: Any #HUMAN card. // Execute: All inventory cards in play are destroyed.,,2,,Set1_Exc003.png,001 The Opening Note,E003
FATHERLY PRIDE,love dad,3g,"~ATH: Any DAD character card. // Execute: Store this executable card beneath your #HUMAN card. // While this card is stored under a character card, the character gains +1 power. // When this executable card is destroyed, nullify it. ",,4,,Set1_Exc004.png,001 The Opening Note,E004
ONE-UP MANSHIP,passive aggressive battles,2g,~ATH: Any opponent's executable card // Execute: Gain +4 grist.,,2,,Set1_Exc005.png,001 The Opening Note,E005
DOUBLE TAP,sick of you,4g,~ATH: An opponent's character card with 5+ power when destroyed. // Execute: The triggering character card is nullified.,,2,,Set1_Exc006.png,001 The Opening Note,E006
CANDY CORN VAMPIRE,i want to suck your blood,4g,~ATH: Any #TROLL // Execute: Remove all boons from all #TROLL cards.,,4,,Set1_Exc007.png,001 The Opening Note,E007
TROJAN VIRUS,injection code,0g,Store this card under another one of your executable cards. // ~ATH: The executable card ontop of this card. // Execute: Return all executable cards to their owner's hand.,,4,,Set1_Exc008.png,001 The Opening Note,E008
MAD SKILLS,beat all the best,5g,~ATH: An opponent's character card with 5+ power when destroyed. // Execute: Gain +1 victory point.,,4,,Set1_Exc009.png,001 The Opening Note,E009
HUMANITY,i choose mercy,5g,"~ATH: An opponent's planet card. // Execute: Gain +2 victory points, and the triggering planet card is restored. // When this executable card is destroyed, nullify it.",,4,,Set1_Exc010.png,001 The Opening Note,E010
PSIIONIC BATTERY,interstellar flight,3g,"~ATH: Your #YELLOWBLOOD // Execute: Until the start of your next turn, moving your #TROLL cards does not tap them.",,3,,Set1_Exc011.png,001 The Opening Note,E011
GL'BGOLYB'S SCREECH,ultimate terror tantrum,5g,"~ATH: your #FUSCHIABLOOD // Execute: Destroy all #TROLL cards- except for #GHOST cards. // When this card is destroyed, nullify it.",,4,,Set1_Exc012.png,001 The Opening Note,E012
CAST CULLER,kill the extras,2g,~ATH: your character card with 4- power when destroyed. // Execute: +1 Boon to all your characters at your planet (not to exceed maximum.),,2,,Set1_Exc013.png,001 The Opening Note,E013
GHOST ARMY,canon fodder,2g,~ATH: Your #GHOST // Execute: +3 to your planet's base power.,,3,,Set1_Exc014.png,001 The Opening Note,E014
CHUCKLEVOODOOS,jokes on you,6g,"~ATH: Your #PURPLEBLOOD // Execute: Gain +2 victory points // When this card is destroyed, nullify it.",,4,,Set1_Exc015.png,001 The Opening Note,E015
ANCIENT RUINS,resdicovering the past,3g,"~ATH:  Your inventory card // Execute: Search your discard pile for another inventory card, and play it immediately (for no cost.)",,3,,Set1_Exc016.png,001 The Opening Note,E016
THE TUMOR,bomb at the planets core,5g,"~ATH: Your planet card // Execute: An opponent of your choice's planet is destroyed. // When this card is destroyed, nullify it.",,4,,Set1_Exc017.png,001 The Opening Note,E017
FORBIDDEN SUMMONING,at the price of oblivion,6g,"~ATH: Your planet card // Execute: All player's nullified cards are added to their player's deck, and shuffled.",,4,,Set1_Exc018.png,001 The Opening Note,E018
INEVITABLE DEATH,the cycle continues,4g,~ATH: Your character card with 5+ power when destroyed // Execute: Destroy an opponnet's character card with 5+ power.,,3,,Set1_Exc019.png,001 The Opening Note,E019
NURSERY PLANET,revolutionary reaction,3g,~ATH: Your #TROLL at your planet // Execute: Move all opponent's character cards with 3+ power at your planet to their own player's planet.,,4,,Set1_Exc020.png,001 The Opening Note,E020
HEMOSPECTRUM,straight up eugenics,3g,~ATH: Any #MUTANT //  Execute: All your #TROLL cards gain +2 power until the end of your next turn.,,3,,Set1_Exc021.png,001 The Opening Note,E021
NO MERCY,what is grief,2g,~ATH: Your character card // Execute: Gain +4 Grist,,2,,Set1_Exc022.png,001 The Opening Note,E022
ECHIDNA'S NEEDLES,its happening again,4g,~ATH: Your planet card // Execute: Add your discard pile to your deck and shuffle.,,3,,,001 The Opening Note,E023
MARTYR COMPLEX,not just another victim,4g,~ATH: Your character card with 5+ power when destroyed // Execute: Refresh all your character cards at your planet.,,3,,,001 The Opening Note,E024
BEAST FEAST,thats good eatin,2g,~ATH: Any opponent's #BEAST card // Execute: Remove up to 2 damage from your planet,,2,,,001 The Opening Note,E025
ANCESTRY,doomed to repeat,4g,~ATH: Your #ANCESTOR // Execute: Give all your character cards with the same title as the triggering card +1 Power.,,3,,,001 The Opening Note,E026
